,id,user,commit,task,filePath,line,commonRule,time,clear,rule_list
0,"""6374ff095c40d014328a8e5d""",0,a1b9c3f35667af2b574ff0d6a716d502581c2954,task-2,src/Indamon.java,69,S109,1663015722000,1,"S109,S1481,S1155"
1,"""6374ff095c40d014328a8e5e""",0,a1b9c3f35667af2b574ff0d6a716d502581c2954,task-2,src/Indamon.java,70,S109,1663015722000,1,"S109,S1481,S1155"
2,"""6374ff0c5c40d014328a8e64""",0,3fefb298df8d30b2b9f14d517cfc7854683e4ce7,task-2,src/Indamon.java,70,S109,1663016183000,1,"S109,S1481,S1155"
3,"""6374ff0c5c40d014328a8e65""",0,3fefb298df8d30b2b9f14d517cfc7854683e4ce7,task-2,src/Indamon.java,71,S109,1663016183000,1,"S109,S1481,S1155"
4,"""6374ff115c40d014328a8e6b""",0,a8395b28aafaaa6ee196728c0606257f01c32376,task-2,src/Shadow.java,5,S109,1663268640000,1,"S109,S1481,S1155"
5,"""6374ff115c40d014328a8e6c""",0,a8395b28aafaaa6ee196728c0606257f01c32376,task-2,src/Indamon.java,70,S109,1663268640000,1,"S109,S1481,S1155"
6,"""6374ff115c40d014328a8e6d""",0,a8395b28aafaaa6ee196728c0606257f01c32376,task-2,src/Indamon.java,71,S109,1663268640000,1,"S109,S1481,S1155"
7,"""6374ff115c40d014328a8e6e""",0,a8395b28aafaaa6ee196728c0606257f01c32376,task-2,src/Shadow.java,5,S1481,1663268640000,1,"S109,S1481,S1155"
8,"""6374ff145c40d014328a8e74""",0,8f1093482f22662beecdf40661f2af10a7f3f60e,task-2,src/Indamon.java,70,S109,1663268667000,1,"S109,S1481,S1155"
9,"""6374ff145c40d014328a8e75""",0,8f1093482f22662beecdf40661f2af10a7f3f60e,task-2,src/Indamon.java,71,S109,1663268667000,1,"S109,S1481,S1155"
10,"""6374ff145c40d014328a8e76""",0,8f1093482f22662beecdf40661f2af10a7f3f60e,task-2,src/Shadow.java,5,S109,1663268667000,1,"S109,S1481,S1155"
11,"""6374ff145c40d014328a8e77""",0,8f1093482f22662beecdf40661f2af10a7f3f60e,task-2,src/Shadow.java,5,S1481,1663268667000,1,"S109,S1481,S1155"
12,"""6374ff195c40d014328a8e7f""",1,c87237f3fedc73cfb364f128030cb185c9b8340b,task-2,1,False,False,1663153816000,0,"S109,S1481,S1155"
13,"""6374ff1b5c40d014328a8e85""",1,f1f68ed60b6a2bf01f2c9ebf48ab20d12fa24639,task-2,1,False,False,1663154090000,0,"S109,S1481,S1155"
14,"""6374ff1d5c40d014328a8e8b""",1,3dd7a261f12ba085cca3cd5ff92172f231367106,task-2,1,False,False,1663244622000,0,"S109,S1481,S1155"
15,"""6374ff215c40d014328a8e93""",2,1a82a9a126cd59a28d1697cf14a5bf2a384e2b73,task-2,src/Indamon.java,73,S109,1662739645000,1,"S109,S1481,S1155"
16,"""6374ff215c40d014328a8e94""",2,1a82a9a126cd59a28d1697cf14a5bf2a384e2b73,task-2,src/Indamon.java,74,S109,1662739645000,1,"S109,S1481,S1155"
17,"""6374ff235c40d014328a8e9a""",2,7969e85a8aaaec22907819e471b2293eff463671,task-2,1,False,False,1662739779000,0,"S109,S1481,S1155"
18,"""6374ff285c40d014328a8ea0""",2,a352e5d836ea46df71f0071a2f3687b34dc2458b,task-2,1,False,False,1663248506000,0,"S109,S1481,S1155"
19,"""6374ff2c5c40d014328a8ea8""",3,aa8d4bdd0b22ae7622335b250501fe4b3414f3ce,task-2,1,False,False,1663188045000,0,"S109,S1481,S1155"
20,"""6374ff2f5c40d014328a8eb0""",4,16424b065fad54dce26c8725190a06ef7aca1f67,task-2,1,False,False,1663163758000,0,"S109,S1481,S1155"
